No,企業名,主要三品目①,主要三品目②,主要三品目③,企業HP
18,株式会社秋葉ダイカスト工業所,アルミダイカスト,亜鉛ダイカスト,金型設計製作,https://www.nc-net.or.jp//company/88036/
19,株式会社セイロジャパン,高品位CAD/CAMシステム　Cimatron,高性能CAM　GO2cam,射出成形CAE　MOLDEX３D,https://www.nc-net.or.jp//company/84550/
20,オーティス株式会社,放熱・防水・防塵・シールド・断熱・接着などの機能性材料（クッション・両面テープ・フィルム・シート・金属箔等）の複合精密打ち抜きプレス加工,メフィット（自社開発のシールドガスケット：導通・接点・EMS対策・静電気対策・シールディング・グランディング）,ロータリースクリーン印刷（機能材料）等オリジナル加工装置の設計・開発　並びに金型、治具等の設計・製造,https://www.nc-net.or.jp//company/69715/
21,株式会社ＪＳテック,シンクロナイザー・ハブ・スリーブ,ナックル（ハウジング）,ホイール・スピンドル,https://www.nc-net.or.jp//company/89848/
22,三工電機株式会社,分電盤・操舵室操作盤・操舵室集合盤,配電盤・給電盤・電源ユニット・蓄電池充放電盤,航海灯表示盤・各種配電盤・各種制御盤・各種操作盤,https://www.nc-net.or.jp//company/93391/
23,,分電盤・操舵室操作盤・操舵室集合盤,配電盤・給電盤・電源ユニット・蓄電池充放電盤,航海灯表示盤・各種配電盤・各種制御盤・各種操作盤,https://www.nc-net.or.jp//company//
24,株式会社ミズノマシナリー,アルミ加工,切削加工,同時5軸加工,https://www.nc-net.or.jp//company/49189/
25,ユウキ産商株式会社,座金・鋲螺関連製品及び各種プレス加工品製造販売,アルミ押出型材加工・マシニング加工・長尺型材加工,アルミ溶接、組立ASSY加工,https://www.nc-net.or.jp//company/92298/
26,株式会社  ケディカ,鉛フリーめっき　６価クロムフリーめっき,自動車関連部品へのめっき／カチオン電着塗装,電気・電子部品・半導体へのめっき,https://www.nc-net.or.jp//company/49256/
27,株式会社豊栄工業,プラスチック射出成形金型／プレス金型、リバースエンジニアリング支援（キャビコア復活等）,精密金属加工（プレス／板金／５軸切削等）、少ロット量産,植物由来樹脂（ＰＬＡ）製品の製造、販売,https://www.nc-net.or.jp//company/53062/
28,株式会社日出,光学用プラスチックレンズ金型設計製作,光学用プラスチックレンズ製造,超精密樹脂金型製造,https://www.nc-net.or.jp//company/22515/
29,株式会社田野製作所,自動車（空調関連部品）等　精密切削加工部品,医療機器（内視鏡部品）等　精密切削加工部品、および組立品,光学機器（レンズ廻り部品）等　精密切削加工部品,https://www.nc-net.or.jp//company/81621/
30,株式会社伊藤製作所,順送り金型設計,順送り金型製作,順送りプレス加工/冷間鍛造,https://www.nc-net.or.jp//company/72592/
31,城陽富士工業株式会社,長尺マシニング加工,ジグボーラでの高精度加工,大物プレート研削加工,https://www.nc-net.or.jp//company/84368/
32,株式会社イナック,樹脂・鉄・アルミ・ＳＵＳ・真鍮など精密試作部品、高透明度樹脂試作品モデル（切削、３Ｄプリント、真空注型）、塗装、真空蒸着メッキなどの加飾　多品種少量生産,５軸加工　スーパーエンプラ　エンプラ　アルミ各種　鉄　切削加工　透明光造形　アルミ蒸着メッキ　不連続蒸着メッキ　ハーフ蒸着メッキ,精密部品　設備用部品　治具　デザイン検証モデル　オブジェ　ワンオフパーツ,https://www.nc-net.or.jp//company/12389/
33,白銅株式会社,非鉄金属（アルミ、銅、ステンレス）、特殊鋼、樹脂、その他金属の材料,５軸加工　スーパーエンプラ　エンプラ　アルミ各種　鉄　切削加工　透明光造形　アルミ蒸着メッキ　不連続蒸着メッキ　ハーフ蒸着メッキ,精密部品　設備用部品　治具　デザイン検証モデル　オブジェ　ワンオフパーツ,https://www.nc-net.or.jp//company/86018/
34,株式会社ゼネテック,3次元CAD/CAMシステム Mastercam,3次元CADシステム　SOLIDWORKS,産業用ロボットオフラインティーチングシステム　Robotmaster,https://www.nc-net.or.jp//company/30005/
35,株式会社柿沼製作所,NC旋盤加工,センターレス研磨,ミグ溶接,https://www.nc-net.or.jp//company/79595/
36,岸本工業株式会社,複合順送プレス加工（売り型にも対応）,複合順送金型製造,順送金型　実機コイルトライ,https://www.nc-net.or.jp//company/47473/
37,株式会社中村製作所,高精度を必要とする精密部品加工,スピンドル、スリーブ、ハウジング,チタンなどの難削材加工品や５軸加工,https://www.nc-net.or.jp//company/87696/
38,株式会社北上エレメック,射出成形金型製作～量産品,金属プレス金型製作～量産品,インサート成形金型製作～量産品,https://www.nc-net.or.jp//company/94720/
39,株式会社 イケダ,マグネシウム加工,アルミ加工,チタン加工,https://www.nc-net.or.jp//company/46279/
40,株式会社 光機械製作所,工作機械の設計・製造,工作機械のレトロフィット・修理・改造,切削工具（超硬インサート・鋼製ドリルボディ）の製造,https://www.nc-net.or.jp//company/22539/
41,株式会社ヒキフネ,精密めっき(無電解ニッケル。潤滑めっき・複合めっき),半導体部品の金・銀。錫ほか各種のめっき,超精密・微細パターン転写技術と金型製造,https://www.nc-net.or.jp//company/45852/
42,シーコム株式会社,自動車試作板金部品及び小ロット量産板金部品,航空機エンジン部品・ガスタービン部品,半導体装置部品・建設機械試作部品,https://www.nc-net.or.jp//company/46642/
43,株式会社ユウワ,プラスチック成形用金型設計・製造,プラスチック成形加工,超精密成形,https://www.nc-net.or.jp//company/94759/
44,hakkai 株式会社,精密プラスチック成形加工,精密プラスチック金型設計製作,自動機及び精密治工具製作,https://www.nc-net.or.jp//company/72463/
45,株式会社サンメック,ステンレス製缶品,機械加工,各種産業機器,https://www.nc-net.or.jp//company/76239/
46,株式会社 茂呂製作所,治工具　治工具部品,部品加工の緊急対応,機械修理　全般,https://www.nc-net.or.jp//company/45600/
47,株式会社今橋製作所,アルミ精密試作加工(手の平～3000mm),大型プレート・ベース6面加工+穴加工,鋳物、製缶品、難削材の試作加工,https://www.nc-net.or.jp//company/79711/
48,株式会社川崎製作所,超大型三次元受託測定,航空機ジェットエンジン部品加工,医療機器部品加工,https://www.nc-net.or.jp//company/81180/
49,株式会社大洋バルブ製作所,フローゲージ,フロースイッチ,サイトグラス,https://www.nc-net.or.jp//company/80206/
50,昭和電気鋳鋼株式会社,建設車両部品,産業用車両部品,鉄道車両部品,https://www.nc-net.or.jp//company/89430/
51,株式会社アミヤ,試作鈑金・叩き（打ち出し）鈑金・精密板金,積層金型やZAS型による絞り加工(油圧プレス）,"小中ロット量産品加工（SPCC,SPHC,SS,SUS,アルミ）",https://www.nc-net.or.jp//company/74369/
52,株式会社キメラ,モールド（プラスチック）金型・プレス金型・各種金型部品加工・精密金属機械加工【設計・製作・試作】,短納期ニーズに応えるため、NAK、SKS、SKD、ハイス、超硬材などの、さまざまな金型用材料をストック,高速切削マシニングセンターによる、高精度の金属切削加工。電極制作。型彫り放電加工機による、精密微細加工。,https://www.nc-net.or.jp//company/46129/
53,友鉄工業株式会社,フルモールド鋳造,大型鋳鉄品（15トンクラス）、消失模型鋳造品,発泡スチロール模型,https://www.nc-net.or.jp//company/60394/
54,中央ばね工業株式会社,ばね,バネ,角線,https://www.nc-net.or.jp//company/53955/
55,株式会社前田テクニカ,板金部品（電機向け）,精密プレス部品,プレス金型,https://www.nc-net.or.jp//company/88354/
56,株式会社サトキン,砂型鋳造・自動車用試作部品・アルミパイプ鋳ぐるみ,大型船舶ポンプ・医療機器関連部品・耐圧バルブ・ポンプ・ケ-ス,電力関係部品・消火栓関係・設備・機械部品、特殊フレ-ム、ロボット,https://www.nc-net.or.jp//company/47507/
57,株式会社タカトモインダストリ,アルミニウム航空機構造部品加工,アルミニウム同時５軸加工,３次元曲面加工、薄肉形状加工,https://www.nc-net.or.jp//company/72027/
58,プロトラブズ合同会社,樹脂射出成形,プラスチックの切削加工,アルミの切削加工,https://www.nc-net.or.jp//company/84178/
59,株式会社竹入製作所,各種省力化装置、専用機、設計製作据付一貫受注(自動搬送機・自動組立機・試験機等),海外調達の充実による、低コストのご要望にお応え出来ます！,アラミド繊維を用いた、コンクリート補強筋【TAFロッド】の製造・販売,https://www.nc-net.or.jp//company/77048/
60,"YMC MACHINERY CO., LTD.",海外から機械を輸入,部品の設計と製造,産業プラントで使用される機械を構築します。,https://www.nc-net.or.jp//company/93811/
61,株式会社サイトウティーエム,プレス加工　：　3次元形状　・　深絞り　・　精密小物,溶接　　：　量産対応スポット溶接　・　アーク溶接,海外調達　：　金型　・　プレス加工品　・　機械加工品（単品～量産まで）,https://www.nc-net.or.jp//company/76094/
62,田中産業株式会社,板金加工,塗装品,海外生産受託,https://www.nc-net.or.jp//company/76676/
63,Noda,各種抜き型（トムソン型、彫刻型、エッチングダイ等）,関連治具,海外生産受託,https://www.nc-net.or.jp//company/93808/
64,株式会社ナガラ,自動車ボディ部品、家電品向けプレス金型の設計・製作,厚板抜き、深絞り等、成形困難部品のプレス金型化試作及びプレス金型設計製作,プレス内搬送用設備治具（トランスファー用フィンガー、ラインペーサー用ハンドリング・アタッチメント、アイドル台、パレット等のマテハン）の設計・製作,https://www.nc-net.or.jp//company/26439/
65,GATE ASIA,金型部品（インジェクション、プレス、アルミダイカスト、ゴム等）,自動機部品・治工具（自動化設備、FA設備、治工具）,金型一式（インジェクション、プレス、アルミダイカスト、ゴム等）,https://www.nc-net.or.jp//company/95342/
66,株式会社ミクロ発條,カテーテル(医療分野)　極細線のノウハウを生かし、どこよりも細い長尺バネの加工を実現。,接点バネ　世界シェア５０%。銀メッキによる加工やダブルトーション他の異形状も安定量産。,ボールペンチップバネ。世界シェア７０%。中性ペン、新油性ペンのボール押さえバネ。自社製マシーンの特徴をフルに発揮。,https://www.nc-net.or.jp//company/73957/
67,山青精密工業有限会社,部品加工、切削加工、機械加工 プレス金型部品加工 精密鋳造,金属加工  機械加工全般  金型製作   簡易金型・試作金型 精密鋳造,精密機械部品、自動化設備部品  治工具  プレス金型設計製作 精密鋳造,https://www.nc-net.or.jp//company/93905/
68,"C.M.Sales Co.,Ltd.",スチールパレットの設計・製造,金属加工  機械加工全般  金型製作   簡易金型・試作金型 精密鋳造,精密機械部品、自動化設備部品  治工具  プレス金型設計製作 精密鋳造,https://www.nc-net.or.jp//company/94026/
69,株式会社瑞穂スプリング製作所,金属プレス　精密ばねの製造,人材派遣　人材紹介　業務委託,精密プレス金型製作販売,https://www.nc-net.or.jp//company/91826/
70,八和エレック株式会社稲沢工場,"制御盤,配電盤製作",鈑金・塗装・機械加工,機械設計・製作,https://www.nc-net.or.jp//company/71841/
71,旭工業株式会社,食品製造機械の製造及び販売,食品事業に係る機械の製造及び販売並びに販売代理,新エネルギー及び省エネルギー事業に係る機械、部品の製造及び販売並びに販売代理,https://www.nc-net.or.jp//company/88330/
72,紀和テクニカルワークス  株式会社,各種自動化機械,省力化機械,治具等の設計製作 及びメンテンス,https://www.nc-net.or.jp//company/94079/
73,株式会社ダイシン機工,NC旋盤による精密部品加工,マシニング加工（縦）精密部品加工,NCフライス（縦）精密加工,https://www.nc-net.or.jp//company/75817/
74,協栄プリント技研株式会社,精密プレス金型  [ 設計・製造・販売 ],微細加工部品 [ 製造・販売 ],NCフライス（縦）精密加工,https://www.nc-net.or.jp//company/89513/
75,有限会社今西鉄工所,精密板金加工,半導体製造装置,制御管理装置,https://www.nc-net.or.jp//company/80946/
76,株式会社松田精工,精密板金塗装,半導体製造装置,制御管理装置,https://www.nc-net.or.jp//company/88761/
77,共栄電工株式会社高田工場,半導体製造装置関連部品,医療・分析機器関連部品,原子力・航空宇宙関連部品,https://www.nc-net.or.jp//company/75290/
78,株式会社日本ﾃﾞｻﾞｲﾝｴﾝｼﾞﾆｱﾘﾝｸﾞ,3D金型設計/NCデータサービス,製品設計/3次元モデリング/2D図面作成,CAD/CAM立ち上げ支援・教育等,https://www.nc-net.or.jp//company/5611/
79,株式会社WBI,試作品製造,３Dモデリング,設計支援,https://www.nc-net.or.jp//company/90224/
80,三陽アキュラシー株式会社,航空機用部品,高精度サーボモーター用減速機,半導体ガス用制御調整機,https://www.nc-net.or.jp//company/89961/
81,株式会社タケパーツファクトリー,NC旋盤加工、難削材加工、NＣ複合旋盤加工 加工コンサルティング,半導体・産業機械・医療機器・鉄道・船舶・バルブ・原子力・自動車関連・航空機,インコネル・ハステロイ・チタン・コバール等の難削材加工、アリ溝・偏芯、セレーション・研磨レス等の高精度加工,https://www.nc-net.or.jp//company/91425/
82,株式会社ヤサカ,プラスチック金型設計製作,各種金型部品製作、修理,プレス部品試作（切削品）,https://www.nc-net.or.jp//company/89621/
83,株式会社アルテック,プラスティック射出成形・試作品,プラスチック加工,ゴム加工・成形取扱,https://www.nc-net.or.jp//company/79121/
84,国友熱工株式会社,真空浸炭,ガス浸炭,焼入れ焼戻し,https://www.nc-net.or.jp//company/80293/
85,株式会社蔵持,FPCや電子部材を抜き加工するプレス金型、真空成形品のトリム加工用３次元プレス金型,FPC・COF等電子回路及び電子部材の加工・検査・組立,フィルムや接着テープ等のスリット、ラミネート、プレス加工,https://www.nc-net.or.jp//company/92267/
86,Hayashi,機械設備／検査装置／治具の設計製造,評価試験（部品の各種評価試験等）,既存設備の改造 、オーバーホール、メンテンナス,https://www.nc-net.or.jp//company/95294/
87,ソテック株式会社,異形線強力ばね「ダイスプリング」,丸線標準ばね「トライスプリング」,ばねの試作、特注品承ります,https://www.nc-net.or.jp//company/80591/
88,株式会社マルイチマシン,"アルミ切削,アルミ加工,マシニング,コストダウン,長野県、安曇野市、複合旋盤、ワイヤーカット、短納期品、特急品",フライス試作品、研究材料加工,精密三次元加工,https://www.nc-net.or.jp//company/78116/
89,FUJILLOY,超硬合金製の耐摩耗工具・金型の製造販売,引抜ダイス・プラグ、各種ロール,精密三次元加工,https://www.nc-net.or.jp//company/92598/
90,LSIクーラー株式会社,高性能ヒートシンク 「コームフィット」,ヒートシンク　放熱フィン　アルミ加工品,パネル部品　ケース部品,https://www.nc-net.or.jp//company/84225/
91,NISSEI USHIYAMA,ソレノイド,シリコーン ファイバーグラス チューブ,ヒート シュリンク チューブ（熱収縮チューブ）,https://www.nc-net.or.jp//company/92714/
92,株式会社フジタ,アルミ鋳鍛造型（四輪用アルミホイール）,アルミ鍛造金型,プレス金型・ブロー成形金型,https://www.nc-net.or.jp//company/71142/
93,株式会社三栄プラテック,プラスチック板のR曲げ加工,真空成形(車両内装部品、医療機器部品、工業用部品),塩ビ製、PP製洗浄槽などの工業用部品,https://www.nc-net.or.jp//company/79426/
94,横山機工株式会社,米国Flow（フロー）社製ウォータージェット切断加工機の販売　【関西・関東地区販売代理店】,ウォータージェットカッターによる受託切断賃加工（難削材可）,工作機械、切削工具、厳選中古ハイテク機器その他生産財の販売,https://www.nc-net.or.jp//company/87287/
95,ファクトリーネットワークアジアタイランド,製造業向けマッチングサービス,ウォータージェットカッターによる受託切断賃加工（難削材可）,工作機械、切削工具、厳選中古ハイテク機器その他生産財の販売,https://www.nc-net.or.jp//company/92526/
96,三陽工業株式会社,動力伝達機器の設計・製作・販売,動力伝達機器の各種サービス,動力伝達機器の輸出入,https://www.nc-net.or.jp//company/92297/
97,Shinjo Vietnam Company Limited,溶接ナット,ピアスナット,動力伝達機器の輸出入,https://www.nc-net.or.jp//company/94348/
98,株式会社NCネットワークベトナム,ベトナム現地調達,協業支援,市場調査,https://www.nc-net.or.jp//company/86081/
99,明星電気株式会社,両面テープ・粘着テープ・機能性フィルムやシートの精密抜き加工から貼り合わせ加工まで一貫対応,PET等の樹脂・ガラスなどの基材とOCA等の光学系材料や機能性フィルムの真空貼り合わせ加工,基板検査装置、治具等のハード及びソフト設計、開発,https://www.nc-net.or.jp//company/92435/
100,株式会社東新製作所,板金加工、製缶加工、レーザー加工,アルゴン溶接、ステンレス溶接、チタン、アルミ溶接、チタン溶接,製缶、ホッパー、ダクト、タンク等設計・製造,https://www.nc-net.or.jp//company/78033/
101,東莞凱路汽車工業有限公司,5軸複合加工精密機械加工,EV自動車関連切削加工部品,自動化装置パーツ自動機パーツ、ゲージ類、検査治工具など設計加工及び組立,https://www.nc-net.or.jp//company/81362/
102,森産業株式会社,マシニング加工,NC旋盤加工,Tig溶接,https://www.nc-net.or.jp//company/73913/
103,SHOKOHTECHタイ工場,金属加工,板金加工,機械製作,https://www.nc-net.or.jp//company/80501/
104,株式会社鈴木研磨,精密研削加工,精密部品,治工具製作,https://www.nc-net.or.jp//company/92997/
105,NKワークス株式会社,チャック/センター/バイス,ツールホルダー/切削工具,クーラント装置/機械・周辺機器,https://www.nc-net.or.jp//company/90575/
106,COMINIX,切削工具、耐摩工具、精密測定器の販売及び開発と技術サポート,住友電工ハードメタルタイランド,ナチテクノロジータイランド,https://www.nc-net.or.jp//company/92705/
107,"Siam Nistrans Co., Ltd.",航空貨物・海上貨物取扱業、倉庫業、国内トラック輸送業、 コンテナ輸送業、通関業、梱包業（自動車部品、ＫＤ部品、 新機種などの車輌輸出梱包、緊急・出張梱包）,機械設備搬入作業、展示会搬入・搬出作業など,ナチテクノロジータイランド,https://www.nc-net.or.jp//company/92719/
108,山田工業株式会社,●オフィス家具の製造販売,●インテリア家具の製造販売,●エクステリア関係の製造販売,https://www.nc-net.or.jp//company/88804/
109,共栄汎用機サービス株式会社,溶射：新品、欠損部、または磨り減った母材に硬質の金属粒子を  溶射することにより、強力な皮膜を形成し、耐久性を向上させます。,バランス修正：各種回転体の偏心を補正し、偏摩耗、騒音を防ぎます。溶射後、機械加工 し寸法に合わせてからの計測が当社で全て行えます。,大手遠心分離機メーカー,https://www.nc-net.or.jp//company/84378/
110,信光工業株式会社,黒色めっき,無電解ニッケルめっき,部分めっき,https://www.nc-net.or.jp//company/89192/
111,"SHOWA DENKI（THAILAND) CO., LTD.",送風機・ミストコレクター・集塵機,無電解ニッケルめっき,部分めっき,https://www.nc-net.or.jp//company/89769/
112,日立Astemo宇城株式会社,焼結部品の製造,焼結部品の2次加工,自動車、バイク、ボートなどの重要／機能部品,https://www.nc-net.or.jp//company/89281/
113,"Ayasan Service Co., Ltd.",人材派遣,焼結部品の2次加工,自動車、バイク、ボートなどの重要／機能部品,https://www.nc-net.or.jp//company/93890/
114,中島精管工業株式会社,ニッケル　コバール　チタン　モリブデン　タンタル等の精密管,無酸素銅　黄銅　ステンレス　ｍ物およびコイル精密管　各種指定サイズ,精密シャフト　各種パイプ絞り加工　切削加工　穴あけ加工,https://www.nc-net.or.jp//company/5585/
115,株式会社カノウプレシジョン,プレス金型および金型部品：プレス深絞りを始めとするプレス金型製品の金型設計から製作、組み立て、試作、製品テストまで一貫して対応しており、超硬パンチの製作も得意です。,FA自動省力化設備精密機械加工部品：自動車関連自動化設備備品などの日本の大手自動機専門メーカー様をはじめ専用機メーカー様に精密機械加工部品を提供しています。,AGガラス、ゴリラガラス、ドラゴントレイルなどカバーガラスをお客様希望計形状で対応いたします,https://www.nc-net.or.jp//company/91517/
116,神谷理研株式会社,各種装飾めっき(装飾クロムめっき、金色めっき、サチライトニッケルめっき)、電解研磨,各種機能めっき(亜鉛ニッケル合金めっき、銅めっき、銀めっき、金めっき、スズめっき、無電解ニッケルめっき、硬質クロムめっき、黒クロムめっき、ハンダめっき),樹脂成形及びハードコート処理,https://www.nc-net.or.jp//company/49500/
117,株式会社唐沢製作所,自転車用ブレーキ製造,車椅子用ハブブレーキ製造,福祉関連機器製造,https://www.nc-net.or.jp//company/46299/
118,Tomeco Mechanic - Electrical Service Joint Stock Company,遠心ファン、軸流ファン、環境処理装置,機械部品,OEM部品,https://www.nc-net.or.jp//company/87689/
119,バンブートライ株式会社,プラスチック射出成形,プラスチック金型設計製作,シルクスクリーン印刷,https://www.nc-net.or.jp//company/29221/
120,有限会社Co khi va tu dong hoa cong nghiep,じぐ,ローラー、コンベヤー,生産の自動化設備,https://www.nc-net.or.jp//company/88469/
121,浅野金属工業株式会社,ステンレス鋳物の鋳造の受注生産,ステンレス耐酸鋼による鋳鋼品の鋳造の受注生産,ステンレス耐熱鋼による鋳鋼品の鋳造の受注生産,https://www.nc-net.or.jp//company/29104/
122,日本フッソ工業株式会社,フッ素樹脂コーティング／ライニング業務,大手石油化学メーカー　他,ステンレス耐熱鋼による鋳鋼品の鋳造の受注生産,https://www.nc-net.or.jp//company/92726/
123,株式会社プログレス,高精度ダイカスト鋳造,高精密金型製作,薄物ダイカスト一般,https://www.nc-net.or.jp//company/70596/
124,松田鉄工株式会社,パイプ加工製品　棒鋼加工製品　ロウ付け加工製品　三次元曲げ加工製品　溶接加工製品,ガス配管パイプ、給湯器用銅パイプ、SUSパイプ製品,各種切削加工部品,https://www.nc-net.or.jp//company/81014/
125,オーエム産業株式会社,精密めっき（スズ、金、銀、フープ）,めっき技術開発（粉末、セラミック、黒鉛、マグネシウムなど）,一般部品へのめっき（亜鉛、ニッケル、スズ）,https://www.nc-net.or.jp//company/46423/
126,"THAI MORISHITA CO.,LTD.",一般締結部品の販売,インサートナットの販売,特殊ねじの販売,https://www.nc-net.or.jp//company/93621/
127,大連庫莱斯涛電子有限会社,精密機械加工部品、治具・金型及び部品製作,非標準自動化設備及び設備組立,電子回路半付け及び電子部品販売。,https://www.nc-net.or.jp//company/90091/
128,深セン市鑫雅精密制品有限公司,FA機器用切削加工品　,機械部品（各種類機械用、モーター用、ドーロン等）,医療機器部品,https://www.nc-net.or.jp//company/94988/
129,Kobayashi Kako,フォークリフト関連の部品加工・治具製作,多品種・小ロットの部品製作,輸送機器部品関係,https://www.nc-net.or.jp//company/95216/
130,"Alberry Asia Co., Ltd.",企業法務、企業コンサルティング、会計・税務,ビジネスマッチング,現地事務所・工場候補地調査・選定,https://www.nc-net.or.jp//company/95474/
131,マテックス株式会社,遊星歯車減速機・変速機,電動アクチュエーター,射出成形品・金型,https://www.nc-net.or.jp//company/73819/
132,OHTA PRECISION,カメラ、ズームレンズ向け光学部品、医療機器部品、顕微鏡、カメラ付属品等,自動車、プリンタ等複写機向けモーターコンポーネント,ディスクドライブ部品,https://www.nc-net.or.jp//company/91050/
133,"NIPPON CUTTING & WELDING EQUIPMENT CO.,LTD",工業ガス用圧力調整器　レギュレータ　減圧弁,ガス溶断機器　吹管,ﾚｰｻﾞ、ﾌﾟﾗｽﾞﾏ、ｶﾞｽNC切断機,https://www.nc-net.or.jp//company/93885/
134,㈲大友機械製作所,据付用　ﾗｲﾅｰ(平、ﾍﾞｰｽ、シム)　ﾃｰﾊﾟｰﾗｲﾅｰ　各種,産業用または工作機械内、精密部品,索道関連部品,https://www.nc-net.or.jp//company/92044/
135,株式会社オータマ,パーマロイ加工品　（板金・切削・絞り・パイプ・プレス）,高性能磁気シールドルーム・チャンバー・ケース・ボックス,磁界測定　/ 磁気シミュレーション / 磁性焼鈍,https://www.nc-net.or.jp//company/84533/
136,株式会社よしいけ工業所,精密微細金属加工（小ロット～量産まで）,旋盤加工,転造ダイスの製造,https://www.nc-net.or.jp//company/79439/
137,山旺理研,硬質クロムめっき,無電解ニッケルメッキ,バフ研磨,https://www.nc-net.or.jp//company/93040/
138,飯山精器株式会社,NC自動旋盤による、複合旋削加工品,熱処理後の研磨・ﾊｰﾄﾞﾀｰﾆﾝｸﾞを含めた油圧バルブ内臓部品,ｺﾊﾞｰﾙ・ﾁﾀﾝ等難削材の旋盤加工,https://www.nc-net.or.jp//company/49196/
139,株式会社ニッコークリエート,鋳物製品鋳造加工,アルミダイカスト鋳造加工,洗浄機設計製造,https://www.nc-net.or.jp//company/64303/
140,有限会社望月エム・アンド・エムズ,フライス盤オーバーホール,旋盤オーバーホール,研削盤オーバーホール,https://www.nc-net.or.jp//company/84603/
141,株式会社MAC,各種産業機械設計・製作・部品・改造・修理,機械保守,雑貨,https://www.nc-net.or.jp//company/77084/
142,株式会社エムジー,車載用コントロールパネル、コネクター,プラスチックマグネット,文具、医療,https://www.nc-net.or.jp//company/76477/
143,株式会社メカテック,特注切断機、自動機の設計・製作,FA装置、治工具の設計・製作,ロボットティーチング・メカトロ制御・シーケンサ制御,https://www.nc-net.or.jp//company/49263/
144,株式会社宮木製作所,景観施設（公園・テーマパーク・会館など）に関連したアルミ鋳物製品及び部品,ビル・店舗の外装建材（カーテンウォールなど）に関するアルミ鋳物製品及び部品,建築・住宅建材（フェンス・門扉・機能門柱など）アルミ鋳物製品及び部品,https://www.nc-net.or.jp//company/84354/
145,株式会社竹中,FC２５０～FCD８００＿鍛造＿トラック部品加工・組み立て,アルミ＿鋳物＿ダイキャスト加工,建機＿鉄道部品＿ロボット部品加工,https://www.nc-net.or.jp//company/80611/
146,IDEA MACHINERY MANUFACTURING JSC,部品加工製作・作自動機・生産設備製作,アルミ＿鋳物＿ダイキャスト加工,建機＿鉄道部品＿ロボット部品加工,https://www.nc-net.or.jp//company/94321/
147,株式会社石川工業所,精密板金加工(曲げ加工、溶接加工),金属製品表面処理：塗装(焼付・粉体)、表面処理,アッセンブリー組立,https://www.nc-net.or.jp//company/48895/
